provider,external_id,club_id_sugerido,urba_club_id,categoria,sufijo,confidence,nivel,etapa_que_lo_crea,urba_institucion,urba_nombre_equipo,anios,veces
urba,212|empresarial|,rectificacion-parra-pilar,212,empresarial,"",exacto,institucion,1,Rectificación Parra Pilar,Rectificación Parra Pilar,2021 2022,3
urba,213|empresarial|,resta,213,empresarial,"",exacto,institucion,1,RESTA,RESTA,2021 2022 2023,4
urba,88|intermedia|,rivadavia-de-lobos,88,intermedia,"",exacto,institucion,1,Rivadavia de Lobos,Rivadavia de Lobos,2021 2022 2023 2024 2025 2026,7
urba,88|mayores|,rivadavia-de-lobos,88,mayores,"",exacto,institucion,1,Rivadavia de Lobos,Rivadavia de Lobos,2021 2022 2023 2024 2025 2026,7
urba,214|empresarial|,robles-campos,214,empresarial,"",exacto,institucion,1,Robles Campos,Robles Campos,2021 2022,3
urba,129|formativo|,ruda-macho,129,formativo,"",exacto,institucion,1,Ruda Macho,Ruda Macho,2025 2026,3
urba,57|femenino|,san-marcos,57,femenino,"",exacto,institucion,1,San Marcos,San Marcos,2026,1
urba,57|intermedia|,san-marcos,57,intermedia,"",exacto,institucion,1,San Marcos,San Marcos,2022 2023 2024 2025 2026,5
urba,57|mayores|,san-marcos,57,mayores,"",exacto,institucion,1,San Marcos,San Marcos,2021 2022 2023 2024 2025 2026,6
urba,215|empresarial|,satsaid,215,empresarial,"",exacto,institucion,1,SATSAID,SATSAID,2021 2022 2023,4
urba,81|intermedia|,sociedad-hebraica,81,intermedia,"",exacto,institucion,1,Sociedad Hebraica,Sociedad Hebraica,2021 2022 2023 2024 2025 2026,7
urba,81|mayores|,sociedad-hebraica,81,mayores,"",exacto,institucion,1,Sociedad Hebraica,Sociedad Hebraica,2021 2022 2023 2024 2025 2026,7
urba,132|formativo|,suipacha,132,formativo,"",exacto,institucion,1,Suipacha,Suipacha,2025 2026,3
urba,216|empresarial|,tactical-lacsi,216,empresarial,"",exacto,institucion,1,Tactical Lacsi,Tactical Lacsi,2021,1
urba,117|formativo|,tehuelches,117,formativo,"",exacto,institucion,1,Tehuelches,Tehuelches,2024,2
urba,217|empresarial|,telnet-soluciones,217,empresarial,"",exacto,institucion,1,Telnet Soluciones,Telnet Soluciones,2022 2023,2
urba,217|empresarial|B,telnet-soluciones,217,empresarial,B,exacto,institucion,1,Telnet Soluciones,Telnet Soluciones B,2023,1
urba,218|empresarial|,teqna,218,empresarial,"",exacto,institucion,1,TEQNA,TEQNA,2021,1
urba,72|femenino|,tigre,72,femenino,"",exacto,institucion,1,Tigre,Tigre,2021 2025 2026,4
urba,72|intermedia|,tigre,72,intermedia,"",exacto,institucion,1,Tigre,Tigre,2022 2023 2024 2025 2026,5
urba,72|mayores|,tigre,72,mayores,"",exacto,institucion,1,Tigre,Tigre,2021 2022 2023 2024 2025 2026,7
urba,72|preintermedia|,tigre,72,preintermedia,"",exacto,institucion,1,Tigre,Tigre,2026,1
urba,69|intermedia|,tiro-federal-de-baradero,69,intermedia,"",exacto,institucion,1,Tiro Federal de Baradero,Tiro Federal de Baradero,2021 2022 2024 2025 2026,5
urba,69|mayores|,tiro-federal-de-baradero,69,mayores,"",exacto,institucion,1,Tiro Federal de Baradero,Tiro Federal de Baradero,2021 2022 2023 2024 2025 2026,6
urba,62|femenino|,tiro-federal-de-san-pedro,62,femenino,"",exacto,institucion,1,Tiro Federal de San Pedro,Tiro Federal de San Pedro,2021 2022,4
urba,62|intermedia|,tiro-federal-de-san-pedro,62,intermedia,"",exacto,institucion,1,Tiro Federal de San Pedro,Tiro Federal de San Pedro,2022 2023 2024 2025 2026,5
urba,62|mayores|,tiro-federal-de-san-pedro,62,mayores,"",exacto,institucion,1,Tiro Federal de San Pedro,Tiro Federal de San Pedro,2021 2022 2023 2024 2025 2026,6
urba,130|empresarial|,tizal,130,empresarial,"",exacto,institucion,1,Tizal,Tizal,2022 2023,3
